meeting_attended,meeting_diff_minutes,interet_client,probabilite_ressentie,budget_confirme,decideur_present,prochaine_etape,nb_relances,is_converted
1,-15,3,64,1,0,Demo,1,1
1,-5,4,23,0,1,Devis,1,1
1,56,1,65,0,1,Devis,4,1
1,42,1,53,0,1,Rappel,1,0
0,999,3,24,0,0,Perdu,1,0
1,-15,5,43,1,1,Rappel,0,1
0,999,1,32,0,0,Perdu,3,0
0,999,2,17,0,0,Perdu,2,0
1,35,4,50,1,1,Demo,1,0
1,34,3,47,1,1,Devis,5,0
0,999,1,33,0,0,Rappel,4,0
1,11,3,54,1,0,Rappel,3,1
1,7,4,49,1,1,Perdu,1,1
0,999,2,21,0,0,Rappel,5,0
1,23,4,26,0,1,Demo,2,1
1,21,5,33,0,1,Devis,0,1
0,999,3,36,0,0,Perdu,2,1
1,-9,4,78,1,0,Devis,2,1
0,999,2,19,0,0,Rappel,5,0
1,-15,4,57,1,1,Demo,0,1
0,999,1,30,0,0,Perdu,5,0
0,999,2,7,0,0,Rappel,3,0
0,999,1,28,0,0,Rappel,8,0
1,8,2,48,1,1,Devis,1,1
0,999,1,22,0,0,Perdu,2,0
1,47,4,70,0,1,Devis,1,1
0,999,3,20,0,0,Perdu,2,0
0,999,1,2,0,0,Perdu,4,0
1,-9,1,53,1,1,Rappel,0,1
1,35,1,84,1,0,Rappel,2,1
1,-7,5,20,0,1,Rappel,4,1
1,-4,3,62,0,1,Perdu,1,0
0,999,3,39,0,0,Rappel,4,0
0,999,3,14,0,0,Perdu,4,0
1,23,1,64,0,1,Demo,1,1
0,999,2,29,0,0,Rappel,1,0
1,-1,2,74,1,0,Demo,0,1
0,999,2,15,0,0,Rappel,2,0
0,999,2,16,0,0,Perdu,2,0
1,1,1,44,1,1,Demo,3,1
0,999,1,22,0,0,Perdu,1,0
1,34,4,77,0,1,Perdu,0,0
1,24,3,15,0,1,Perdu,3,0
0,999,1,6,0,0,Perdu,1,0
1,10,3,36,0,0,Perdu,1,0
0,999,3,21,0,0,Perdu,5,0
1,15,3,64,1,0,Rappel,4,1
1,17,4,85,1,1,Devis,1,1
1,-15,4,48,0,0,Perdu,0,0
1,0,5,24,1,1,Demo,1,1
0,999,1,27,0,0,Perdu,1,0
1,-6,4,46,1,0,Devis,2,0
0,999,1,32,0,0,Perdu,1,0
1,-15,4,85,0,1,Devis,3,1
1,-14,3,54,1,1,Devis,0,1
1,26,4,71,1,1,Rappel,2,1
1,-15,3,58,1,1,Devis,1,1
1,5,4,41,0,1,Rappel,3,0
1,-14,4,76,1,1,Rappel,1,1
1,17,3,24,1,1,Devis,1,1
0,999,2,15,0,0,Perdu,6,0
1,6,4,81,1,0,Devis,0,1
0,999,2,0,0,0,Perdu,4,0
0,999,2,25,0,0,Perdu,3,0
1,-12,5,49,0,1,Perdu,1,0
1,-11,4,67,1,0,Devis,1,1
0,999,1,31,0,0,Perdu,4,0
0,999,2,11,0,0,Perdu,2,0
1,40,5,69,0,1,Rappel,2,0
0,999,1,20,0,0,Perdu,4,0
1,-6,3,74,1,1,Demo,1,1
1,4,4,31,0,1,Rappel,1,0
1,15,4,100,1,0,Devis,1,1
1,56,2,35,0,1,Rappel,1,1
0,999,3,24,0,0,Perdu,3,0
1,-10,3,72,1,1,Demo,0,1
1,0,4,50,0,0,Rappel,1,1
1,-1,3,24,0,0,Devis,1,1
1,-15,4,93,1,1,Perdu,1,0
0,999,1,35,0,0,Rappel,3,0
1,1,3,25,0,0,Perdu,0,1
1,37,4,89,1,0,Rappel,1,1
1,8,3,39,0,1,Rappel,3,1
1,17,2,27,1,1,Devis,1,1
0,999,1,17,0,0,Rappel,5,0
0,999,2,19,0,0,Perdu,4,0
1,9,5,66,0,0,Rappel,3,1
1,-3,2,51,0,1,Demo,0,0
1,-15,4,63,1,1,Perdu,0,0
1,-5,4,86,0,0,Perdu,2,1
1,20,3,37,1,1,Perdu,1,0
1,1,5,41,0,1,Demo,0,1
1,14,3,47,1,0,Rappel,0,0
0,999,3,39,0,0,Perdu,2,0
1,35,2,93,0,1,Devis,5,1
1,-10,4,41,1,0,Devis,2,1
0,999,1,30,0,0,Rappel,8,0
0,999,3,17,0,0,Perdu,4,0
1,5,3,59,0,1,Demo,0,0
1,36,4,61,1,1,Demo,0,1
1,-4,5,60,0,0,Demo,0,1
1,3,3,33,0,0,Devis,0,0
0,999,1,29,0,0,Perdu,4,0
1,-15,5,86,1,0,Devis,5,1
1,19,2,65,1,1,Rappel,0,1
1,-7,4,77,1,1,Rappel,2,1
1,13,4,52,0,1,Rappel,3,1
1,0,1,44,1,1,Devis,3,1
0,999,1,33,0,0,Perdu,6,0
1,24,4,92,1,1,Devis,0,1
1,15,4,46,1,1,Demo,2,1
1,16,1,52,0,0,Demo,1,0
0,999,1,24,0,0,Perdu,5,0
0,999,1,39,0,0,Perdu,3,0
0,999,1,21,0,0,Rappel,4,0
1,-15,5,81,1,0,Rappel,1,1
0,999,1,6,0,0,Rappel,3,0
0,999,2,46,0,0,Perdu,1,0
0,999,1,21,0,0,Rappel,4,0
1,14,4,99,1,1,Devis,1,1
0,999,1,14,0,0,Perdu,5,0
0,999,2,35,0,0,Rappel,3,0
0,999,1,21,0,0,Perdu,5,0
0,999,2,18,0,0,Perdu,2,0
1,36,3,41,1,1,Rappel,1,1
1,25,3,59,1,1,Devis,1,1
1,32,5,69,0,0,Devis,0,0
1,12,5,42,1,1,Devis,2,1
1,-14,4,76,1,1,Demo,0,1
1,9,3,57,0,1,Devis,5,1
1,27,5,51,1,1,Demo,2,1
1,10,4,68,0,1,Devis,0,1
1,-15,3,63,0,1,Perdu,0,0
0,999,2,41,0,0,Perdu,1,0
